method,split,query_id,n_input,n_output,input_tokens,output_tokens,compression_ratio,reduction_pct,recall,precision,f1,ndcg,latency_ms
SelectiveContext,synthetic_g1,syn-5,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4620170000180224
LLMLingua,synthetic_g1,syn-5,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.37099899998338515
FCNP,synthetic_g1,syn-5,80,5,985,139,7.086330935251799,85.88832487309645,0.8,0.8,0.8000000000000002,0.8539316501572937,18.0896470000107
NoCompression,synthetic_g1,syn-6,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.35763102258454776,0.0014570000530511606
Random,synthetic_g1,syn-6,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.030780999964008515
TopKImportance,synthetic_g1,syn-6,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.01822499996251281
BM25,synthetic_g1,syn-6,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.7223989999829428
DenseTopK,synthetic_g1,syn-6,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.2987219999113222
SelectiveContext,synthetic_g1,syn-6,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.46985400001631206
LLMLingua,synthetic_g1,syn-6,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4729920000272614
FCNP,synthetic_g1,syn-6,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,21.770082999978513
NoCompression,synthetic_g1,syn-7,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.42826311539858786,0.001503000021330081
Random,synthetic_g1,syn-7,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.07653000000118482
TopKImportance,synthetic_g1,syn-7,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.03718300001764874
BM25,synthetic_g1,syn-7,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.6090040000117369
DenseTopK,synthetic_g1,syn-7,80,5,985,139,7.086330935251799,85.88832487309645,0.8,0.8,0.8000000000000002,0.7860137352654724,0.1927949999753764
SelectiveContext,synthetic_g1,syn-7,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5087380000077246
LLMLingua,synthetic_g1,syn-7,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.38116899997930886
FCNP,synthetic_g1,syn-7,80,5,985,139,7.086330935251799,85.88832487309645,0.8,0.8,0.8000000000000002,0.7860137352654724,17.90023800003837
NoCompression,synthetic_g1,syn-8,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.440824851571624,0.0014380000266100978
Random,synthetic_g1,syn-8,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.16958010263680806,0.0323939999589129
TopKImportance,synthetic_g1,syn-8,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.023474999920836126
BM25,synthetic_g1,syn-8,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5053559999623758
DenseTopK,synthetic_g1,syn-8,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.639945385422766,0.1719379999940429
SelectiveContext,synthetic_g1,syn-8,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4670140000371248
LLMLingua,synthetic_g1,syn-8,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.38157300002694683
FCNP,synthetic_g1,syn-8,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5087403079104241,18.618557999957375
NoCompression,synthetic_g1,syn-9,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.36867710753566957,0.0013549999948736513
Random,synthetic_g1,syn-9,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.03125599994291406
TopKImportance,synthetic_g1,syn-9,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.019361999989087053
BM25,synthetic_g1,syn-9,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5028450000281737
DenseTopK,synthetic_g1,syn-9,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5531464700081437,0.17307699999946635
SelectiveContext,synthetic_g1,syn-9,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.48159300001771044
LLMLingua,synthetic_g1,syn-9,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.39220899998326786
FCNP,synthetic_g1,syn-9,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5531464700081437,20.64120099998945
NoCompression,synthetic_g1,syn-10,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.35642810958577176,0.0016280000636470504
Random,synthetic_g1,syn-10,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.033207999990736425
TopKImportance,synthetic_g1,syn-10,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.02971399999296409
BM25,synthetic_g1,syn-10,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5219150000357331
